GRD_CD,year,grade_id
FTGBOPCLMUSK,2018,412
SFTGFOP1CL-WIRY,2018,413
BPS(CHINA),2018,414
SFTGFOP1(TIPPY),2018,415
TGOF(SPL),2018,416
SFTGFOP1(SP)WRY,2018,417
GRANDOOLONG,2018,418
SFTGFOP1CHSUPMF,2018,419
STGBOP1CH,2018,420
TGBOP(CH)AUT,2018,421
TGOF(FLOWRY),2018,422
STGBOP,2018,423
SFTGFOP1(CH)AUT,2018,424
FTGFOP1 AUT,2018,425
SFTGFOP1AUT,2018,426
STGFOP1SC,2018,427
SFTGFOP1AUTFLY,2018,428
TGBOP1(AUT),2018,429
OF(GREEN),2018,430
FTGFOP AUT,2018,431
TGBOP AUT,2018,432
FTGFOP(CHINA),2018,433
SFTGFOP1CLAUTBS,2018,434
TGBOP(CHINA)MUS,2018,435
TGOF(CH)MUSK,2018,436
FTGFOP1CHAUTMUS,2018,437
GOF(GT),2018,438
SFTGFOP1CLAUT,2018,439
SFTGFOP1CLVINTA,2018,440
FTGFOP1CLMUSKAU,2018,441
SFTGFOP1FLYSPLA,2018,442
FTGFOP1(GT),2018,443
SFTGFOP1AUTENIG,2018,444
FOP AUT,2018,445
FOP DELIGHT,2018,446
GT BULK L,2018,447
MIRCHIMONGRA,2018,448
FTGFOP1AUTQUEEN,2018,449
FOP ENIGMA,2018,450
STGFOPS,2018,451
FTGFOP1CLAUTCLA,2018,452
FOF(GREEN),2018,453
FTGFOP1AUTCH,2018,454
FTGFOP1(CL)AUT,2018,455
SFTGFOP AUT,2018,456
SFTGFOP1WIRYAUT,2018,457
SFTGFOP1(VINTAG,2018,458
STGBOP(SPL),2018,459
MI(S),2018,460
SFTGFOP(CHINA),2018,461
FTGFOP1CLTIPOOL,2018,462
STGBOP1(CHINA),2018,463
STGBOP(CH),2018,464
GOF(MUSCAT),2018,465
MII,2018,466
GT BULK,2018,467
FTGFOP1CLOOLONG,2018,468
GOF(TIPPY),2018,469
MI,2018,470
FTGFOP(MUSK),2018,471
STGFOP(CL),2018,472
TGFBOP1(SPL CL),2018,473
STGFOP(CH),2018,474
FTGFOP1CHOOLONG,2018,475
FTGFOP1CLQUEENT,2018,476
MI(SF),2018,477
SFTGFOP1WHITETE,2018,478
GOLDEN DROPS,2018,479
STGBOP1(CL)SPL,2018,480
FOP(MUSK),2018,481
GTGFBOP(CLONAL),2018,482
FTGFOP1CLWONDBE,2018,483
FTGFOP1CLMOONLI,2018,484
TGOF(GT)CL,2018,485
BPSL,2018,486
FTGFOP1AUTMUSK,2018,487
SFTGFOP1AUTVINT,2018,488
FBOPL,2018,489
FTGFOP1(CH)UPR,2018,490
GTDUST,2018,491
BPS(CL)SPL,2018,492
TGBOP1(SPL),2018,493
TGFOP(SPL-CL),2018,494
MOGRAI(SPL),2018,495
FBOP1(TIPPY),2018,496
FOF1(CL),2018,497
SFTGFOP1AUTTHUN,2018,498
FTGFOP1MAOFEN G,2018,499
SFTGFOP1CLFLYAU,2018,500
SFTGFOP1AUTMUSK,2018,501
TGBOP1(CH) (SPL,2018,502
SFTGFOP1CHFINAU,2018,503
SFTGFOP1HIMMYST,2018,504
TGBOP1(GT),2018,505
